Year DOY  Hr Min  Btot   Bx       By     Bz      V       n
2017 247  0 35    3.84   -1.01    0.84   -3.56   495.5   4.46
2017 247  0 40    4.66   -1.55    1.50   -4.08   490.1   4.39
2017 247  0 45    4.63   -2.08    3.00   -2.32   489.0   4.50
2017 247  0 50    4.55   -1.73    3.50   -1.80   489.1   4.23
2017 247  0 55    5.47   -1.95    4.80   -0.47   489.0   4.04
2017 247  1  0    5.06   -1.96    4.58    0.24   488.7   3.19
2017 247  1  5    4.41   -2.18    3.31    1.62   485.2   3.54
2017 247  1 10    4.13   -2.40    2.85    0.75   479.4   3.43
2017 247  1 15    4.00   -2.96    0.60    1.75   487.5   3.55
2017 247  1 20    3.70   -2.30    0.81    1.52   483.2   3.55
2017 247  1 25    2.60   -1.81    1.35    0.75   483.3   3.70
2017 247  1 30    3.26    0.30    2.38   -0.95   491.7   3.40
2017 247  1 35    3.29    0.36    2.39   -1.62   506.5   3.31
2017 247  1 40    3.14   -1.72    1.97   -1.57   484.7   3.89
2017 247  1 45    3.36   -1.20    2.84   -1.16   490.0   3.48
2017 247  1 50    3.67   -1.15    3.21   -0.38   489.5   3.53
2017 247  1 55    3.69   -1.09    3.02   -1.19   487.0   3.48
2017 247  2  0    4.26   -0.33    4.08   -0.80   494.7   3.24
2017 247  2  5    4.24    0.58    3.74   -1.24   499.7   3.45
2017 247  2 10    3.64    0.37    1.44   -2.42   494.6   3.60
2017 247  2 15    3.49    1.11    2.04   -1.59   496.8   3.66
2017 247  2 20    3.39    0.84    2.49    0.45   497.3   3.63
2017 247  2 25    3.59    0.43    1.57   -2.58   487.4   3.81
2017 247  2 30    3.47    0.38    2.02   -2.57   488.2   3.87
2017 247  2 35    3.89   -0.04    3.08   -2.30   484.7   3.69
2017 247  2 40    3.45   -0.28    3.14   -1.34   480.8   3.59
2017 247  2 45    2.07   -0.10    1.86   -0.83   479.0   4.05
2017 247  2 50    2.34   -0.18    2.19   -0.67   477.7   4.04
2017 247  2 55    3.00   -0.32    2.69   -0.90   480.5   4.05
2017 247  3  0    3.93   -1.28    3.50   -0.68   477.2   3.59
2017 247  3  5    3.76   -1.07    3.43   -0.82   487.4   3.34
2017 247  3 10    4.02   -1.96    3.23   -0.28   484.1   3.42
2017 247  3 15    4.16   -2.99    2.68    1.02   478.6   3.32
2017 247  3 20    4.11   -3.05    2.32    1.45   479.8   3.29
2017 247  3 25    4.16   -3.17    2.24    1.50   478.5   3.35
2017 247  3 30    4.08   -2.95    1.98    1.99   479.6   3.60
2017 247  3 35    4.13   -3.11    1.66    2.14   477.2   3.51
2017 247  3 40    3.96   -2.49    1.90    2.23   478.2   3.58
2017 247  3 45    3.83   -2.68    2.10    1.60   479.7   3.29
2017 247  3 50    3.60   -2.17    2.58    0.92   486.2   3.29
2017 247  3 55    3.35   -2.08    2.49    0.66   484.7   3.19
2017 247  4  0    3.24   -2.40    1.89    0.67   485.4   3.15
2017 247  4  5    3.69   -3.30    1.19    0.92 99999.9 999.99
2017 247  4 10    3.77   -3.45    0.11    1.44   473.1   2.95
2017 247  4 15    3.68   -3.18   -1.07    1.43   473.8   3.02
2017 247  4 20    3.90   -3.37   -0.64    1.66   475.3   2.91
2017 247  4 25    3.85   -3.51    1.00    1.17   480.9   2.87
2017 247  4 30    3.77   -3.56    1.05    0.66   480.1   2.93
2017 247  4 35    3.82   -3.33    1.65    0.06   481.9   2.96
2017 247  4 40    3.74   -3.01    2.13    0.06   483.2   2.87
2017 247  4 45    3.75   -3.10    2.03    0.46   482.4   2.87
2017 247  4 50    3.67   -3.03    1.96    0.60   481.2   2.99
2017 247  4 55    3.44   -3.02    1.50    0.53   484.6   2.80
2017 247  5  0    3.11   -2.81    1.18    0.51   489.6   2.79
2017 247  5  5    3.22   -2.43    2.05   -0.12   495.7   2.64
2017 247  5 10    3.37   -2.54    2.14   -0.46   492.4   2.69
2017 247  5 15    3.34   -2.60    1.90   -0.78   491.2   2.64
2017 247  5 20    3.49   -2.46    2.39   -0.37   490.8   2.58
2017 247  5 25 9999.99 9999.99 9999.99 9999.99 99999.9 999.99
2017 247  5 30    3.25   -1.82    2.66    0.24 99999.9 999.99
2017 247  5 35    2.96   -2.05    2.07   -0.04   488.1   2.79
2017 247  5 40    3.40   -3.01    0.60   -1.20   477.1   2.49
2017 247  5 45    3.16   -2.61    0.79   -1.09   481.1   2.66
2017 247  5 50    2.26   -0.03    1.77    0.06   508.9   3.17
2017 247  5 55    3.47    1.99    2.23    1.28   504.6   3.18
2017 247  6  0    3.82    2.19    2.22    2.15   495.1   2.84
2017 247  6  5    3.99    2.94    1.82    1.98   493.6   2.67
2017 247  6 10    3.76    2.57    1.84    2.01   487.6   2.69
2017 247  6 15    3.38    2.04    1.78    1.95   480.4   2.95
2017 247  6 20    3.43    1.77    2.04    2.10   479.9   2.93
2017 247  6 25    3.45    1.85    1.98    2.01   480.9   3.09
2017 247  6 30    3.41    1.94    1.98    1.87   478.5   3.17
2017 247  6 35    3.30    1.43    2.23    1.75   479.9   2.95
2017 247  6 40    3.25    0.63    1.85    1.53   477.9   3.13
2017 247  6 45    3.43   -1.21    2.11    1.25   461.0   3.06
2017 247  6 50    3.49   -1.90    1.95    1.04   467.8   2.80
2017 247  6 55    2.89   -0.74    2.36    1.18   474.6   2.84
2017 247  7  0    2.80   -0.87    2.32    1.27   469.6   3.18
2017 247  7  5    2.99   -1.29    2.35    1.31   469.1   3.17
2017 247  7 10    3.37   -1.51    2.66    1.40   466.3   3.13
2017 247  7 15    3.88   -1.49    3.14    1.66   461.0   3.46
2017 247  7 20    3.55   -1.61    2.89    1.26   455.9   3.50
2017 247  7 25    3.11   -0.99    2.58    1.43   460.2   3.37
2017 247  7 30    2.74   -0.73    2.47    0.91   461.3   2.96
2017 247  7 35    3.08   -1.26    2.69    0.77   462.6   3.07
2017 247  7 40    3.34   -1.50    2.80    0.92   461.9   3.30
2017 247  7 45    3.09   -1.30    2.58    1.01   463.1   3.12
2017 247  7 50    3.24   -1.58    2.07    1.81   462.9   3.28
2017 247  7 55    3.22   -1.79    1.87    1.68   462.3   3.28
2017 247  8  0    4.05   -1.02    2.93    2.35   463.5   3.44
2017 247  8  5    4.24   -0.68    3.60    1.93   464.5   3.69
2017 247  8 10    4.30   -0.60    3.84    1.69   466.1   3.78
2017 247  8 15    4.37   -0.17    4.02    1.52   467.0   3.67
